doc_id	mot	tf*idf
73881	grenoblealpes	2.513217600067939
71837	guimet	2.513217600067939
73431	ephe	2.513217600067939
73430	thésards	2.513217600067939
67943	gsi	2.513217600067939
71612	dégrader	2.513217600067939
76512	dégustateur	2.513217600067939
69179	systèmess	2.513217600067939
68638	femtoseconde	2.513217600067939
69816	sylviculture	2.513217600067939
71358	ferroviaires	2.513217600067939
70744	epinière	2.513217600067939
69819	grenobleuniversité	2.513217600067939
70916	grêle	2.513217600067939
71358	guidés	2.513217600067939
73684	fertiliser	2.513217600067939
71616	guidée	2.513217600067939
76510	ferré	2.513217600067939
75069	fragilise	2.513217600067939
73684	délimité	2.513217600067939
76210	sédimentation	2.513217600067939
67937	défend	2.513217600067939
75789	dégrossir	2.513217600067939
72632	femelle	2.513217600067939
69819	toplis	2.513217600067939
72935	délivrance	2.513217600067939
67556	défectueux	2.513217600067939
73687	top	2.513217600067939
69535	flexisécurité	2.513217600067939
73434	topexposéidon	2.513217600067939
72122	thésame	2.513217600067939
74170	strasse	2.513217600067939
67556	faveur	2.513217600067939
71612	dégradent	2.513217600067939
69534	formulations	2.513217600067939
75071	esanté	2.513217600067939
71362	guadeloupe	2.513217600067939
67553	délégations	2.513217600067939
68277	technicité	2.513217600067939
71358	fcc	2.513217600067939
74172	franccomtoises	2.513217600067939
67388	enzymatiques	2.513217600067939
73883	tince	2.513217600067939
73683	déduit	2.513217600067939
68383	timidité	2.513217600067939
67386	envoyées	2.513217600067939
72117	fraise	2.513217600067939
67553	strictes	2.513217600067939
70165	stricte	2.513217600067939
71357	déduire	2.513217600067939
70420	stressantes	2.513217600067939
68882	dégager	2.513217600067939
69183	faux	2.513217600067939
69818	grenelle	2.513217600067939
68884	envoyé	2.513217600067939
69185	exigeante	2.513217600067939
71616	déléguée	2.513217600067939
73690	structurelles	2.513217600067939
71617	dégagées	2.513217600067939
67938	sélectionne	2.513217600067939
71612	dégrade	2.513217600067939
68642	fct	2.513217600067939
68886	guerra	2.513217600067939
72117	total	2.513217600067939
76207	framac	2.513217600067939
73684	défunt	2.513217600067939
70422	guidon	2.513217600067939
71837	symbiotique	2.513217600067939
71837	symbiotiques	2.513217600067939
68273	frais	2.513217600067939
70165	topographiques	2.513217600067939
73434	topography	2.513217600067939
74168	toroïdal	2.513217600067939
76514	feingenbaum	2.513217600067939
72629	tort	2.513217600067939
75464	déformable	2.513217600067939
74752	guide	2.513217600067939
73185	escale	2.513217600067939
73876	délivrent	2.513217600067939
75790	guichard	2.513217600067939
67387	feuillage	2.513217600067939
73185	escales	2.513217600067939
67937	strasbourgeois	2.513217600067939
72115	sélectifs	2.513217600067939
72119	délivrée	2.513217600067939
72394	délocalisée	2.513217600067939
72630	tinctoriales	2.513217600067939
74751	délèves	2.513217600067939
76210	strong	2.513217600067939
74750	déformation	2.513217600067939
67937	défendent	2.513217600067939
73182	guère	2.513217600067939
74457	déforestation	2.513217600067939
67802	fragment	2.513217600067939
71835	sécroule	2.513217600067939
71357	titres	2.513217600067939
68390	erc	2.513217600067939
67556	déficience	2.513217600067939
74167	grises	2.513217600067939
67946	to	2.513217600067939
74452	grilles	2.513217600067939
68642	fragmenté	2.513217600067939
72632	griffe	2.513217600067939
69538	together	2.513217600067939
68885	fermiers	2.513217600067939
68389	fragmentation	2.513217600067939
69534	gâteaux	2.513217600067939
68638	fermilab	2.513217600067939
70917	fleuve	2.513217600067939
74752	gèle	2.513217600067939
69541	flexible	2.513217600067939
75459	sydney	2.513217600067939
67942	tohoku	2.513217600067939
68885	fermières	2.513217600067939
74174	délectrode	2.513217600067939
70743	ferrant	2.513217600067939
67556	déficiences	2.513217600067939
70751	favorise	2.513217600067939
76508	tokyo	2.513217600067939
72937	grid	2.513217600067939
69815	flore	2.513217600067939
72120	tiennent	2.513217600067939
68383	gustave	2.513217600067939
75788	grosso	2.513217600067939
70420	grosses	2.513217600067939
73684	equatoriale	2.513217600067939
68275	equipements	2.513217600067939
75461	feraud	2.513217600067939
68279	gy	2.513217600067939
68275	equipex	2.513217600067939
74752	fermentation	2.513217600067939
67942	séisme	2.513217600067939
71836	gyroscopiques	2.513217600067939
73431	tivmi	2.513217600067939
71835	grosse	2.513217600067939
73877	guyot	2.513217600067939
72632	grison	2.513217600067939
75460	fermetures	2.513217600067939
71843	sécrétée	2.513217600067939
76208	fragmenter	2.513217600067939
74450	gâteau	2.513217600067939
67937	tlrs	2.513217600067939
72934	equipé	2.513217600067939
75791	tms	2.513217600067939
68887	sécrétera	2.513217600067939
72935	equity	2.513217600067939
67798	titulaire	2.513217600067939
72119	grisolia	2.513217600067939
70923	favorisera	2.513217600067939
74450	tienne	2.513217600067939
73187	délectronique	2.513217600067939
72398	favorisant	2.513217600067939
71843	déjecter	2.513217600067939
71362	equateur	2.513217600067939
72397	façons	2.513217600067939
76206	délibérée	2.513217600067939
69819	tomographie	2.513217600067939
68881	séjours	2.513217600067939
76508	tonal	2.513217600067939
75068	séances	2.513217600067939
75063	sélabore	2.513217600067939
71362	tianjin	2.513217600067939
74455	franccomtoise	2.513217600067939
67798	définissant	2.513217600067939
74172	favorablement	2.513217600067939
75791	délicats	2.513217600067939
72935	déliminer	2.513217600067939
72632	fragrant	2.513217600067939
68383	définitif	2.513217600067939
74454	définitive	2.513217600067939
72117	guérison	2.513217600067939
68646	tison	2.513217600067939
69819	grynberg	2.513217600067939
67555	grèce	2.513217600067939
68274	erreur	2.513217600067939
75458	erythrée	2.513217600067939
72631	gustation	2.513217600067939
74749	gustatifs	2.513217600067939
