mot	docs
29/11/2012 	['71612', '71614', '71615', '71616', '71617', '71618', '71619', '71620', '71621']
Horizon formation 	['71619']
21/12/2012 	['71835', '71836', '71837', '71838', '71839', '71840', '71841', '71842', '71843', '71845']
31/01/2013 	['72113', '72114', '72115', '72116', '72117', '72118', '72119', '72120', '72121', '72122']
28/02/2013 	['72392', '72393', '72394', '72395', '72396', '72397', '72398', '72399', '72400', '72401']
En direct Laboratoires 	['72397']
26/03/2013 	['72629', '72630', '72631', '72632', '72633', '72634', '72635', '72636', '72637']
30/04/2013 	['72932', '72933', '72934', '72935', '72936', '72937', '72938', '72939', '72940']
03/06/2013 	['73182', '73183', '73184', '73185', '73186', '73187', '73188', '73189', '73190']
03/07/2013 	['73430', '73431', '73432', '73433', '73434', '73435', '73436', '73437', '73438']
Actualités Innovation 	['73433']
Horizon enseignement 	['73437']
07/08/2013 	['73683', '73684', '73685', '73686', '73687', '73688', '73689', '73690', '73691']
10/09/2013 	['73875', '73876', '73877', '73878', '73879', '73880', '73881', '73882', '73883', '73884']
21/10/2013 	['74167', '74168', '74169', '74170', '74171', '74172', '74173', '74174', '74175', '74176']
02/12/2013 	['74449', '74450', '74451', '74452', '74453', '74454', '74455', '74456', '74457']
23/12/2013 	['74744', '74745', '74746', '74747', '74748', '74749', '74750', '74751', '74752']
05/02/2014 	['75063', '75064', '75065', '75066', '75067', '75068', '75069', '75070', '75071']
20/03/2014 	['75457', '75458', '75459', '75460', '75461', '75462', '75463', '75464', '75465', '75466']
En direct labos 	['75463']
05/05/2014 	['75788', '75789', '75790', '75791', '75792', '75793', '75794', '75795', '75796', '75797']
20/06/2014 	['76206', '76207', '76208', '76209', '76210', '76211', '76212', '76213']
Horizons formation Enseignement 	['76211']
06/08/2014 	['76507', '76508', '76509', '76510', '76511', '76512', '76513', '76514', '76515', '76516', '76516']
