mot	docs
yes	['67794', '67795', '67800', '67937', '67938', '67940', '67941', '68274', '68276', '68280', '68281', '68383', '68390', '68638', '68881', '68882', '68883', '68886', '69177', '69178', '69179', '69183', '69541', '69542', '69811', '69816', '69821', '70161', '70163', '70165', '70420', '70421', '70422', '70423', '70424', '70425', '70744', '70747', '70914', '70916', '71612', '71614', '71621', '71835', '71836', '71837', '72113', '72114', '72115', '72119', '72392', '72397', '72629', '72635', '72636', '72932', '72933', '72939', '72940', '73182', '73183', '73185', '73430', '73431', '73683', '73684', '73875', '73876', '74167', '74168', '74170', '74450', '74454', '74455', '74457', '74750', '74752', '75063', '75064', '75065', '75070', '75457', '75458', '75463', '75464', '75465', '75788', '75789', '75791', '75792', '76208', '76213']
no	['67068', '67071', '67383', '67385', '67386', '67387', '67388', '67389', '67390', '67391', '67392', '67553', '67554', '67555', '67556', '67557', '67558', '67561', '67796', '67797', '67798', '67799', '67801', '67802', '67803', '67804', '67939', '67942', '67943', '67944', '67945', '67946', '68273', '68275', '68277', '68278', '68279', '68283', '68384', '68385', '68386', '68387', '68388', '68389', '68391', '68392', '68393', '68639', '68640', '68641', '68642', '68643', '68644', '68645', '68646', '68884', '68885', '68887', '68888', '68889', '69180', '69181', '69182', '69184', '69185', '69186', '69533', '69534', '69535', '69536', '69537', '69538', '69539', '69540', '69543', '69812', '69813', '69814', '69815', '69817', '69818', '69819', '69820', '70162', '70164', '70166', '70167', '70168', '70169', '70170', '70426', '70428', '70429', '70743', '70745', '70746', '70748', '70749', '70751', '70752', '70753', '70915', '70917', '70918', '70919', '70920', '70921', '70922', '70923', '71357', '71358', '71359', '71360', '71361', '71362', '71363', '71366', '71615', '71616', '71617', '71618', '71619', '71620', '71838', '71839', '71840', '71841', '71842', '71843', '71845', '72116', '72117', '72118', '72120', '72121', '72122', '72393', '72394', '72395', '72396', '72398', '72399', '72400', '72401', '72630', '72631', '72632', '72633', '72634', '72637', '72934', '72935', '72936', '72937', '72938', '73184', '73186', '73187', '73188', '73189', '73190', '73432', '73433', '73434', '73435', '73436', '73437', '73438', '73685', '73686', '73687', '73688', '73689', '73690', '73691', '73877', '73878', '73879', '73880', '73881', '73882', '73883', '73884', '74169', '74171', '74172', '74173', '74174', '74175', '74176', '74449', '74451', '74452', '74453', '74456', '74744', '74745', '74746', '74747', '74748', '74749', '74751', '75066', '75067', '75068', '75069', '75071', '75459', '75460', '75461', '75462', '75466', '75790', '75793', '75794', '75795', '75796', '75797', '76206', '76207', '76209', '76210', '76211', '76212', '76507', '76508', '76509', '76510', '76511', '76512', '76513', '76514', '76515', '76516', '76516']
