mot	docs
réémettre	['67068', '69539']
chronologie	['67068', '75788']
inversée	['67068', '75070']
collaborateur	['67068', '67940', '68885', '70166']
rendu	['67068', '69541', '72630', '73437', '75459']
compte	['67068', '67068', '67386', '67387', '67553', '68386', '68387', '68638', '68642', '68645', '68646', '68885', '68886', '69177', '69533', '69533', '69533', '69538', '69538', '69812', '69813', '69815', '70162', '70163', '70166', '70421', '70421', '70421', '70422', '70422', '70914', '70916', '71358', '71361', '71362', '71614', '71616', '71618', '71835', '71835', '72113', '72113', '72114', '72392', '72629', '72630', '72633', '72933', '72933', '72935', '72936', '73435', '73684', '73685', '73688', '73875', '73876', '73878', '73879', '73879', '74167', '74167', '74167', '74171', '74450', '74450', '74451', '74455', '74744', '74749', '75063', '75063', '75063', '75459', '76207', '76207', '76211', '76213']
revivre	['67068', '68273']
vie	['67068', '67071', '67383', '67798', '67798', '67799', '67801', '67937', '67938', '67939', '67939', '67944', '68277', '69177', '69178', '69535', '69539', '69811', '69821', '71357', '71362', '71620', '71835', '71835', '71835', '71836', '71845', '72116', '72392', '72629', '72932', '72932', '72933', '73182', '73182', '73435', '73684', '73688', '74167', '74746', '75063', '75063', '75065', '75071', '75464', '75465', '75465', '75792', '75792', '75793', '75793', '75795', '76213']
passer	['67068', '67068', '67385', '67386', '67387', '67554', '67794', '67795', '67801', '67939', '68273', '68280', '68281', '68643', '69185', '69533', '69533', '69533', '69534', '69540', '69814', '69821', '69821', '70161', '70161', '70161', '70166', '70168', '70421', '71357', '71359', '71612', '71836', '71840', '72115', '72392', '72394', '72394', '72395', '72397', '72397', '72633', '72636', '72932', '72939', '73182', '73187', '73190', '73430', '73431', '73683', '73685', '73688', '73876', '73882', '74167', '74175', '74175', '74450', '74450', '75066', '75068', '75070', '75459', '75792', '75795', '76508', '76511']
focaliser	['67068', '68391', '69540', '70420', '72115', '72118', '72632', '75065', '75793']
source	['67068', '68638', '68644', '68881', '68884', '69178', '69814', '70747', '71363', '71363', '71363', '71617', '72115', '72934', '73186', '73188', '73188', '73876', '74168', '74454', '75070', '76209', '76213', '76213']
façon	['67068', '67068', '67392', '67554', '67797', '67939', '68387', '68643', '68881', '68882', '68887', '68887', '69177', '69181', '69815', '70164', '70421', '70425', '70916', '71357', '71618', '71843', '72114', '72397', '72629', '72932', '73187', '73434', '73435', '73876', '73879', '73879', '73882', '74172', '74173', '74449', '74453', '74748', '75063', '75064', '76210']
efficace	['67068', '67385', '67553', '67554', '68639', '68887', '69813', '70161', '70747', '71843', '72393', '72935', '73187', '73188', '73879', '74173', '75064', '75789', '76509', '76511']
commencer	['67068', '67938', '67940', '68274', '68274', '68279', '68383', '68389', '68643', '68643', '68643', '68644', '68644', '68882', '69177', '69178', '69533', '69536', '69812', '69812', '70166', '70420', '70421', '70422', '70916', '70916', '70916', '71612', '71612', '71614', '71614', '71616', '71837', '72118', '72121', '72394', '72394', '72396', '72630', '72631', '72933', '73430', '73434', '73683', '73684', '73685', '73875', '73878', '73879', '74168', '74168', '74169', '74455', '74749', '74752', '75458', '75458', '75459', '75792', '76213', '76213', '76511']
abord	['67068', '68274', '68643', '68882', '72114', '72115', '72119', '72394', '73185', '73684', '74168', '74746', '75459']
ultrasons	['67068', '73435']
sismique	['67068']
micro-ondes	['67068', '67939', '67939', '67939', '67939', '67939']
ce	['67068', '67068', '67383', '67387', '67390', '67392', '67553', '67554', '67554', '67558', '67795', '67799', '67801', '67937', '67937', '67937', '67939', '67939', '67941', '67946', '68273', '68273', '68279', '68391', '68393', '68640', '68645', '68881', '68881', '68881', '68881', '68882', '68883', '68883', '68887', '68888', '68889', '69184', '69533', '69534', '69536', '69536', '69540', '69812', '69812', '69815', '69817', '69817', '69819', '70161', '70161', '70161', '70166', '70170', '70420', '70420', '70421', '70421', '70421', '70424', '70425', '70425', '70744', '70916', '70920', '71357', '71358', '71359', '71360', '71362', '71614', '71617', '71618', '71620', '71621', '71836', '71836', '71836', '71838', '71839', '71843', '71843', '71845', '72113', '72114', '72115', '72116', '72117', '72118', '72121', '72122', '72393', '72393', '72394', '72399', '72399', '72630', '72630', '72630', '72631', '72631', '72632', '72632', '72633', '72932', '72933', '72935', '73183', '73186', '73187', '73430', '73430', '73431', '73431', '73434', '73684', '73687', '73876', '73877', '73878', '73878', '74167', '74167', '74171', '74172', '74173', '74450', '74450', '74454', '74745', '74746', '74746', '74749', '74751', '74752', '75064', '75065', '75457', '75457', '75457', '75458', '75465', '75465', '75789', '75792', '75797', '76507', '76507', '76509', '76511', '76512', '76514', '76514', '76516', '76516']
limiter	['67068', '67385', '67558', '68390', '69538', '70923', '71357', '73435', '73436', '74449', '75792']
publier	['67068', '67071', '67556', '67556', '67558', '67794', '67802', '67937', '67938', '68276', '68280', '68383', '68387', '68388', '68389', '68886', '68887', '69184', '69533', '69533', '69540', '69816', '69819', '70167', '71361', '71621', '71843', '72398', '72401', '72940', '72940', '73182', '73188', '73688', '74167', '74167', '74752', '75794', '76508']
excellents	['67068', '68387']
papier	['67068', '72932']
publication	['67068', '67388', '67388', '68391', '68638', '69811', '70748', '71361', '71361', '71614', '71837', '72939', '72939', '73182', '73435', '74457', '75793', '76511', '76512']
réputer	['67068', '74450', '76211']
physical	['67068', '73188', '75794', '75794']
review	['67068', '73188', '75794', '75794']
compris	['67068', '67937', '67937', '68281', '68386', '69814', '70163', '72630', '73188', '73688', '73688', '74750']
vite	['67068', '67383', '67383', '67938', '68881', '70161', '70420', '70422', '72630', '72630', '74167', '74167', '74450', '74450']
qu'au-delà	['67068', '76511']
application	['67068', '67068', '67796', '67796', '67800', '68280', '68384', '68390', '68392', '68393', '68638', '68638', '68639', '68641', '68644', '68881', '68881', '68881', '68881', '68881', '69533', '70166', '70169', '70421', '70422', '70423', '70429', '70744', '71359', '71616', '71835', '71836', '71839', '71839', '71841', '72113', '72116', '72122', '72122', '72394', '72394', '72399', '73182', '73190', '73190', '73431', '73431', '73433', '73434', '73879', '73879', '73879', '73879', '73879', '74170', '74450', '74451', '74452', '74453', '74744', '75063', '75459', '75788', '75788', '75796', '75797', '76207', '76208', '76210', '76507', '76507', '76508', '76508', '76508', '76508', '76509', '76509', '76511']
potentielles	['67068']
ainsi	['67068', '67068', '67385', '67387', '67389', '67554', '67556', '67558', '67558', '67803', '67937', '67938', '67938', '67939', '67940', '67941', '68273', '68386', '68388', '68388', '68389', '68390', '68640', '68645', '68645', '68883', '68885', '68885', '68887', '69183', '69184', '69185', '69533', '69534', '69536', '69536', '69537', '69537', '69541', '69813', '70161', '70162', '70162', '70163', '70165', '70165', '70166', '70166', '70169', '70420', '70421', '70421', '70424', '70424', '70914', '70916', '70923', '71357', '71358', '71362', '71363', '71366', '71615', '71621', '71836', '71836', '71841', '72113', '72114', '72115', '72116', '72393', '72395', '72396', '72398', '72629', '72932', '72933', '72938', '73182', '73183', '73430', '73430', '73431', '73432', '73434', '73437', '73683', '73685', '73689', '73876', '73880', '73881', '74167', '74450', '74450', '74454', '74746', '74747', '74750', '75065', '75069', '75457', '75459', '75789', '75794', '75796', '76206', '76209', '76209', '76212', '76510', '76510', '76511', '76515']
brûler	['67068']
tumeur	['67068', '67802', '70918', '70918', '72117']
détruire	['67068', '68391', '75065', '75065', '76511']
composer	['67068', '67385', '67390', '67554', '67800', '67802', '67939', '68273', '68390', '68390', '68390', '68390', '68646', '69179', '70163', '70919', '71360', '71618', '71843', '72119', '72397', '73689', '73880', '74168', '74454', '74750', '75064', '75064', '75066', '75070', '75793', '75794', '76210', '76210']
électronique	['67068', '67390', '68280', '68391', '69186', '69186', '69814', '70165', '70166', '70167', '70167', '70168', '70423', '71359', '73187', '73190', '75070', '75795']
rrière	['67068', '71361', '71361', '71361', '71614', '71835', '75063']
mur	['67068', '70162', '73430', '74168']
envoyer	['67068', '67386', '67389', '68281', '68884', '70422', '75457', '75788']
information	['67068', '67386', '67554', '67561', '67945', '68275', '68391', '68887', '69536', '69537', '69540', '69540', '69540', '69540', '69816', '70162', '70162', '70162', '70162', '70162', '70168', '70423', '71359', '71359', '71614', '72637', '72940', '73880', '74167', '74167', '74744', '74746', '74747', '75071', '75788', '75791']
précis	['67068', '67387', '68881', '69533', '70424', '70424', '71615', '74744', '76208', '76511']
pièce	['67068', '70421', '70918', '71836', '71842', '71842', '73431', '73431', '73431', '73431', '74745']
progressivement	['67068', '71612', '74752']
certain	['67068', '67388', '67389', '67389', '67391', '67392', '67553', '67553', '67553', '67553', '67553', '67556', '67558', '67794', '67795', '67798', '67798', '67798', '67802', '67937', '67939', '67939', '67943', '68273', '68273', '68279', '68383', '68385', '68385', '68387', '68387', '68387', '68638', '68638', '68643', '68643', '68881', '68882', '69183', '69184', '69184', '69184', '69534', '69534', '69813', '69816', '69820', '69821', '70166', '70166', '70166', '70420', '70420', '70420', '70420', '70421', '70421', '70745', '70914', '70916', '70920', '71357', '71357', '71358', '71358', '71362', '71362', '71612', '71618', '71621', '71836', '71836', '71842', '71843', '72114', '72114', '72392', '72392', '72631', '72634', '72634', '72636', '72932', '73182', '73190', '73431', '73431', '73431', '73431', '73431', '73432', '73434', '73436', '73436', '73683', '73685', '73875', '73875', '73875', '73876', '73879', '74167', '74167', '74167', '74171', '74449', '74455', '74746', '74752', '75063', '75067', '75459', '75460', '75462', '75466', '75788', '75789', '75793', '75793', '75793', '75793', '75793', '75794', '76207', '76207', '76209', '76209', '76511']
nombre	['67068', '67387', '67387', '67388', '67553', '67795', '67798', '67801', '67939', '67939', '68279', '68280', '68387', '68642', '68642', '68642', '69182', '69540', '70161', '70162', '70166', '70420', '70420', '70420', '70420', '70422', '70422', '70425', '70745', '70753', '70916', '70920', '71357', '71357', '71358', '71358', '71618', '72113', '72115', '72392', '72635', '72936', '73187', '73430', '73434', '73683', '73875', '74744', '74745', '74752', '75063', '75792', '75793', '76209', '76508']
instruments	['67068', '67939', '67939', '69811', '70916', '74451', '74451', '74455']
original	['67068', '67068', '68273', '68275', '68387', '69536', '69541', '69817', '70420', '71836', '72115', '72394', '73431', '73431', '73431', '73434', '73689', '74749', '75063']
finir	['67068', '69540', '70161', '72629', '72629', '72631', '73185', '73683', '74167', '74749']
déboucher	['67068', '70420', '72395', '72630', '76511']
indique-t-il	['67068', '68387', '71359', '71614', '72396', '73185', '74749', '76206']
partir	['67068', '67383', '67554', '67558', '67794', '67795', '67801', '68280', '68383', '68643', '68886', '69533', '69533', '69533', '69535', '69537', '69537', '69814', '69815', '69816', '69819', '70162', '70162', '70162', '70423', '70916', '70917', '70917', '71357', '71366', '71612', '71614', '71617', '71841', '72113', '72115', '72115', '72396', '72397', '72397', '72630', '72630', '72630', '72939', '72940', '73182', '73431', '73431', '73683', '74450', '75068', '76206', '76207', '76208', '76211', '76213', '76511']
possible	['67068', '67068', '67383', '67383', '67385', '67386', '67553', '67554', '67558', '67794', '67794', '67795', '67798', '67801', '68279', '68388', '69178', '69182', '69183', '69535', '69540', '69811', '70162', '70162', '70744', '70744', '70746', '71357', '71617', '71836', '71838', '72115', '72397', '72934', '72939', '73184', '73431', '73432', '73434', '73435', '73876', '74167', '74168', '75065', '75067', '75070', '75071', '75459', '75459', '76208', '76510']
image	['67068', '67068', '67554', '67796', '67796', '67945', '68391', '68391', '68391', '68641', '69177', '69177', '69177', '69182', '69537', '69537', '69540', '69811', '69816', '69819', '69819', '70424', '70424', '71357', '71612', '71612', '71836', '71836', '72629', '72629', '72932', '73189', '73431', '73431', '74450', '74752', '76508']
sont-ils	['67068', '73431', '73436', '74173']
fabriquer	['67068', '67388', '67554', '67554', '67554', '68274', '68280', '68388', '68882', '69819', '69819', '72114', '72114', '72114', '72119', '73433', '73879', '74168', '74454', '76213']
imageur	['67068', '67554', '67554', '67554', '67939', '70163', '70163', '70163']
corps	['67068', '67068', '67068', '68383', '69179', '69539', '70429', '71835', '72631', '73435', '73878', '73878', '76213']
humain	['67068', '67068', '67068', '67386', '67794', '67794', '67802', '67802', '67802', '67937', '67938', '67938', '68384', '68386', '69533', '69538', '69813', '69815', '69815', '70421', '70421', '70421', '70429', '70744', '71359', '71361', '71361', '71619', '72394', '72935', '72939', '72939', '72939', '72939', '73431', '73432', '73433', '73683', '73878', '73878', '73879', '74454', '74745', '74748', '75063', '75063', '75064', '76515']
grâce	['67068', '67385', '67389', '67392', '67554', '67555', '67800', '67801', '67802', '67937', '67939', '67943', '68273', '68391', '68391', '68881', '69178', '69178', '69182', '69182', '69538', '69539', '69539', '69540', '69811', '69811', '69813', '69817', '70162', '70162', '70162', '70162', '70163', '70166', '70420', '70421', '70421', '70423', '70744', '70748', '70751', '71362', '71614', '71836', '71836', '71837', '71838', '71839', '72395', '72631', '72633', '73186', '73432', '73432', '73435', '73437', '73684', '73686', '73686', '73687', '74167', '74168', '74168', '74171', '74745', '74745', '74748', '75064', '75069', '75464', '75792', '75794', '76208', '76510', '76510']
xquels	['67068', '68275', '68643', '69177', '69178', '69539', '69817', '70161', '70161', '70166', '70421', '70425', '72629', '73432', '73683', '74167', '74748', '75788', '76512']
obtenir	['67068', '67385', '67388', '67388', '67388', '67390', '67554', '67555', '67558', '67558', '67797', '67799', '67799', '67801', '67802', '68274', '68280', '68390', '69182', '69183', '69184', '69533', '69537', '69819', '70167', '70426', '70426', '70744', '70916', '70917', '70920', '71362', '71612', '71612', '71836', '71838', '72394', '72397', '72397', '72397', '72631', '72933', '73184', '73184', '73189', '73189', '73431', '73432', '73436', '73436', '73683', '73683', '73684', '73684', '74168', '74449', '74449', '74450', '74744', '74750', '74750', '75065', '75070', '75457', '75459', '75460', '75794', '76206', '76210', '76210', '76210', '76212', '76511']
10	['67068', '67390', '67555', '68273', '68281', '68383', '68387', '68638', '68881', '68882', '68885', '69179', '69185', '69814', '69818', '69821', '70163', '70167', '70743', '70747', '71619', '72632', '72633', '72635', '72635', '72934', '72934', '72934', '72937', '73434', '73684', '73688', '74173', '74173', '75065', '75458', '75464', '75795', '76212', '76508', '76512']
000	['67068', '67071', '67387', '67387', '67794', '67794', '67800', '67801', '67937', '68274', '68276', '68387', '68387', '68646', '68646', '69537', '69540', '69541', '69542', '69543', '69811', '69811', '69811', '69811', '69811', '69814', '69818', '69821', '69821', '70166', '70167', '70425', '70746', '70914', '70917', '72114', '72115', '72115', '72115', '72122', '72397', '72934', '72935', '73183', '73432', '73433', '73438', '73683', '73684', '73684', '73684', '73684', '73688', '73878', '73882', '74173', '74453', '74454', '74454', '74744', '75065', '75065', '75066', '75795', '75795', '75796', '76208', '76508', '76510', '76510', '76510', '76510', '76510']
second	['67068', '67383', '67385', '67385', '67385', '67794', '67802', '67939', '67942', '68273', '68388', '68389', '68639', '68646', '68882', '68887', '69177', '69533', '69533', '69535', '69540', '69817', '70167', '70169', '70169', '70420', '70421', '70424', '70424', '70751', '70916', '70916', '70920', '71357', '71360', '71360', '71361', '71361', '71616', '71617', '72118', '72122', '72393', '72397', '72629', '72934', '72935', '73686', '73686', '73879', '73882', '74168', '74173', '74173', '74454', '75064', '75067', '75789', '75790', '76208', '76209', '76209', '76508', '76514', '76516', '76516', '76516', '76516']
nous	['67068', '67553', '67553', '67553', '67795', '67795', '67798', '67798', '67798', '67799', '67937', '67938', '67938', '67939', '68273', '68273', '68273', '68273', '68274', '68274', '68279', '68281', '68383', '68387', '68387', '68643', '68643', '68643', '68643', '68643', '68881', '68881', '68881', '68882', '68887', '69177', '69177', '69177', '69534', '69812', '70161', '70161', '70166', '70166', '70420', '70421', '70422', '71357', '71358', '71358', '71614', '71614', '72113', '72114', '72115', '72393', '72396', '72396', '72629', '72629', '72630', '72631', '73182', '73431', '73432', '73434', '73434', '73434', '73684', '73685', '73685', '73685', '73875', '73876', '73876', '74167', '74167', '74449', '74449', '74450', '74457', '75063', '75065', '75065', '75066', '75790', '75793', '75793', '76206', '76213', '76508', '76508', '76508', '76508', '76511']
parcourir	['67068', '68389', '68640', '68883', '68883', '69811', '74170', '74170', '74170', '75458']
jamais	['67068', '67802', '67937', '67938', '68276', '68638', '68883', '69537', '69539', '69539', '69540', '69811', '69821', '70163', '70166', '70421', '70424', '70744', '71363', '71842', '71842', '71842', '71843', '72636', '72933', '73431', '73880', '74167']
personn	['67068', '67389', '67799', '68387', '70744', '72115', '72629', '73187', '73190', '73190', '73432', '73435', '74449', '74449', '74752', '76508']
n'avait	['67068', '69533', '69540', '70744', '71614', '72630', '72632', '73185', '73688', '75463']
observer	['67068', '67389', '67389', '67553', '67553', '67555', '67555', '67555', '67555', '67558', '67794', '67938', '67942', '68273', '68383', '68387', '68387', '68388', '68388', '68389', '68389', '68390', '68886', '68886', '68886', '69184', '69533', '69534', '69539', '69811', '69813', '69819', '70167', '70167', '70420', '70421', '70421', '70424', '70424', '70424', '70916', '72113', '72631', '72634', '72939', '73182', '73184', '73184', '73185', '73434', '73688', '73877', '74167', '74172', '74173', '74449', '74449', '74450', '74451', '75067', '75069', '75070', '75788', '75793', '76209', '76508']
jusqu'alors	['67068', '67553', '67554', '69537', '74167', '74168', '74455']
s'enthousiasme-t-il	['67068', '67383', '73683']
rait-il	['67068']
effet	['67068', '67387', '67388', '67555', '67555', '67555', '67555', '67798', '67798', '67798', '67937', '67941', '68387', '68387', '68387', '68387', '68388', '68638', '68646', '68646', '68886', '69816', '69816', '70162', '70168', '70420', '70421', '70424', '70424', '70429', '70429', '70745', '70751', '70916', '70923', '71617', '71837', '71842', '72114', '72114', '72117', '72392', '72629', '72630', '73434', '73434', '73437', '73685', '74168', '74453', '75069', '75792', '75794', '76213', '76213']
âge	['67068', '67388', '67553', '67555', '67555', '67555', '67555', '67555', '68387', '68387', '68646', '70428', '71841', '71841', '74449', '74449', '74746']
celui	['67068', '67068', '67071', '67383', '67385', '67389', '67391', '67554', '67557', '67794', '67794', '67937', '68273', '68275', '68276', '68279', '68279', '68280', '68387', '68387', '68389', '68389', '68389', '68638', '68643', '68643', '68643', '68644', '68644', '68885', '68886', '68886', '68887', '69177', '69185', '69533', '69536', '69537', '69539', '69540', '69811', '69811', '69816', '69816', '69819', '69819', '69820', '69821', '70164', '70167', '70167', '70168', '70168', '70420', '70421', '70421', '70421', '70421', '70423', '70424', '70425', '70745', '70914', '70917', '71357', '71357', '71359', '71615', '71615', '71835', '72113', '72113', '72113', '72114', '72116', '72118', '72394', '72397', '72397', '72630', '72631', '72633', '72633', '72634', '72932', '72932', '72932', '72932', '72934', '72937', '73185', '73185', '73185', '73186', '73190', '73430', '73431', '73434', '73436', '73683', '73683', '73684', '73687', '73875', '73876', '73879', '73881', '74167', '74168', '74168', '74449', '74744', '74744', '74746', '74746', '74749', '75063', '75065', '75065', '75067', '75068', '75457', '75459', '75459', '75463', '75789', '76209', '76209', '76213', '76213', '76509', '76511']
pratiquer	['67068', '67801', '70420', '70745', '72636', '73431', '74454']
-delà	['67068', '67558', '67937', '68273', '68280', '68638', '69538', '69816', '70423', '71357', '71357', '71358', '71362', '72117', '72396', '72939', '73183', '73184', '73186', '73189', '73434', '73683', '75063', '75459', '75789', '75792', '76209', '76509']
boutade	['67068']
âgé	['67068', '67555', '67799', '74449', '74454', '74746', '74746', '74749', '74749', '75063', '76208']
jourd'hui	['67068', '67383', '67385', '67387', '67388', '67388', '67553', '67554', '67554', '67557', '67557', '67561', '67795', '67798', '67798', '67938', '67939', '67939', '68273', '68274', '68275', '68276', '68276', '68277', '68279', '68279', '68383', '68387', '68392', '68638', '68638', '68642', '68643', '68643', '68643', '68645', '68881', '68881', '68882', '68882', '68882', '68885', '68889', '69182', '69534', '69540', '69811', '69812', '69812', '69813', '69813', '69813', '69814', '69816', '69820', '69821', '70161', '70161', '70165', '70166', '70421', '70423', '70425', '70743', '70745', '70745', '70747', '70753', '70914', '70916', '70917', '70918', '71358', '71358', '71358', '71359', '71359', '71360', '71360', '71360', '71612', '71614', '71614', '71614', '71616', '71835', '71839', '71840', '71840', '71842', '72113', '72114', '72114', '72114', '72114', '72115', '72115', '72117', '72117', '72118', '72392', '72392', '72394', '72629', '72629', '72629', '72630', '72631', '72631', '72633', '72633', '72635', '72636', '72932', '72932', '72932', '72933', '72933', '72935', '72940', '72940', '73184', '73186', '73187', '73187', '73430', '73431', '73434', '73436', '73436', '73684', '73684', '73875', '73876', '73878', '73879', '73880', '73882', '74167', '74167', '74167', '74168', '74171', '74171', '74171', '74172', '74172', '74450', '74450', '74451', '74451', '74453', '74455', '74455', '74455', '74455', '74744', '74744', '74745', '74746', '74746', '74746', '74748', '74749', '74749', '75063', '75063', '75063', '75065', '75065', '75065', '75066', '75070', '75791', '75792', '75793', '76206', '76207', '76208', '76213', '76507', '76508']
65	['67068', '67799', '68883', '74170', '74449', '74449', '74454', '74749', '74749']
ans	['67068', '67383', '67389', '67555', '67555', '67555', '67557', '67794', '67795', '67798', '67937', '67939', '67939', '67945', '68275', '68384', '68641', '68645', '68646', '68646', '69177', '69186', '69534', '69536', '69811', '70164', '70422', '70426', '70428', '70749', '70749', '70749', '70923', '71357', '71359', '71362', '71362', '71362', '71614', '71614', '71836', '72114', '72114', '72114', '72118', '72394', '72636', '72637', '72933', '73182', '73430', '73434', '73683', '73684', '73684', '73685', '73875', '73875', '74167', '74168', '74169', '74449', '74449', '74453', '74455', '74455', '74744', '74745', '74746', '74749', '74749', '74749', '74751', '74752', '75063', '75071', '75459', '75789', '75792', '76208', '76213', '76507', '76511', '76512']
isser	['67068', '67386', '67937', '68886', '70421', '72397']
croire	['67068', '67795', '67798', '67938', '69813', '70420', '70917', '72932', '73430', '73876', '73876', '74167', '74455', '75063', '75793']
tant	['67068', '67383', '67386', '67388', '67388', '67553', '67557', '67794', '67794', '67794', '67795', '67797', '67798', '67801', '67801', '67802', '67937', '67938', '67939', '67939', '68273', '68273', '68275', '68283', '68389', '68390', '68391', '68391', '69177', '69182', '69185', '69535', '69537', '69811', '69813', '69816', '69820', '70161', '70161', '70165', '70170', '70420', '70421', '70422', '70746', '71366', '71621', '71837', '71840', '72115', '72393', '72394', '72394', '72399', '72629', '72631', '72634', '72636', '72932', '72932', '72932', '72933', '72934', '72935', '73430', '73430', '73434', '73683', '73685', '73875', '73876', '73876', '73879', '73880', '74167', '74168', '74168', '74168', '74168', '74175', '74450', '74455', '74455', '74745', '74746', '74749', '74752', '75063', '75064', '75066', '75459', '75464', '75792', '75792', '75793', '75794', '76206', '76209', '76511']
enthousiasmer	['67068', '68638', '71842', '73685', '74451']
reste	['67068', '67388', '67388', '67389', '67389', '67389', '67553', '67554', '67557', '67795', '68273', '68383', '68383', '68391', '68391', '68643', '68887', '68887', '69182', '69184', '69813', '70163', '70167', '70425', '71612', '71614', '71614', '72114', '72115', '72629', '72634', '72636', '73182', '73187', '73433', '73436', '73683', '74167', '74167', '74168', '74450', '74747', '75789', '75794', '76209', '76210', '76213', '76213', '76213', '76508']
intact	['67068']
a-t-il	['67068', '67937', '67937', '68883', '69177', '69177', '69540', '70923', '71357', '71357', '71358', '72933', '72933', '73182']
concrétiser	['67068', '68643', '68881', '72392', '74172']
rapprochement	['67068', '69535', '71358', '76211']
optique	['67068', '67554', '67554', '68641', '68641', '68641', '69540', '69540', '69811', '70747', '71837', '72932', '72932', '74451', '74451']
arnaud	['67068', '72933', '72933', '73182', '74746', '76510']
tourin	['67068']
rémi	['67068', '76208', '76208', '76208']
carminatti	['67068']
adjoints	['67068']
ité	['67068', '67941', '67941', '68278', '68385', '68883', '69180', '69812', '69812', '70420', '70420', '70420', '70426', '70743', '71612', '71836', '72393', '72393', '72394', '72633', '73683', '73687', '73877', '75063']
mixte	['67068', '67388', '67556', '67944', '68278', '68385', '68387', '68883', '68885', '69180', '69180', '69184', '69812', '70420', '70743', '70745', '71612', '71837', '72631', '73683', '73683', '75459', '75793', '76514']
(cnrs/espci	['67068', '68280', '70747', '74750']
paristech/upmc/université	['67068', '70747']
paris-diderot)	['67068', '75794']
centaine	['67068', '68389', '68638', '68644', '68885', '69181', '69813', '69820', '70167', '70421', '70422', '70744', '71615', '71835', '71835', '71837', '71837', '72115', '72122', '72630', '72630', '72933', '72934', '72937', '73186', '73438', '73878', '73878', '74450', '74450', '74450', '75464', '76508']
métier	['67068', '68276', '68276', '68276', '68393', '68393', '69812', '70161', '70161', '70165', '70422', '70422', '70422', '70422', '70422', '70422', '70422', '70422', '70923', '70923', '71614', '72115', '72392', '72636', '72932', '72932', '73882', '73882', '74744', '75457', '75457', '75457', '75457', '75457', '75457', '75791']
mener	['67068', '67389', '67391', '67555', '67795', '67937', '67940', '67945', '68283', '68385', '68387', '68387', '68389', '68390', '68393', '68393', '69178', '69533', '69534', '69536', '69537', '69537', '69539', '69813', '69816', '69819', '69819', '70161', '70161', '70163', '70165', '70420', '70422', '70745', '70753', '71357', '71360', '71612', '71612', '71843', '72114', '72115', '72392', '72392', '72394', '72630', '72630', '72631', '72634', '72935', '73182', '73184', '73683', '73685', '73688', '73876', '73876', '74168', '74172', '74749', '74750', '75063', '75064', '75065', '75065', '75065', '75458', '75462', '75463', '75464', '75464', '75789', '75789', '75791', '75793', '75794', '76208', '76510', '76511']
s'étendent	['67068']
pousser	['67068', '67939', '68387', '71357', '71617', '73434']
imagerie	['67068', '67391', '67796', '68275', '68275', '68391', '69182', '69186', '69819', '69819', '73189', '73189', '73431', '73431', '73877', '75067', '76515', '76515']
multi-onde	['67068']
(acousto-optique	['67068']
photo-acoustique	['67068']
élastographie	['67068']
ultrason	['67068']
irm)	['67068']
technique	['67068', '67383', '67388', '67388', '67389', '67389', '67389', '67389', '67553', '67553', '67553', '67554', '67554', '67561', '67801', '67939', '67940', '67943', '68279', '68279', '68391', '68391', '68391', '68391', '68391', '68391', '68391', '68638', '68643', '68884', '68885', '68885', '68885', '68885', '68885', '69536', '69538', '69539', '69539', '69812', '69812', '69819', '69820', '70162', '70423', '70747', '70916', '70917', '70918', '70918', '71835', '71838', '72113', '72113', '72113', '72115', '72392', '72393', '72399', '72399', '72399', '72629', '72629', '72632', '72636', '72933', '72934', '72936', '73182', '73189', '73431', '73431', '73434', '73685', '73689', '73689', '73690', '73690', '73876', '73877', '73879', '73884', '73884', '73884', '74168', '74171', '74745', '74745', '74746', '74747', '74749', '74749', '75071', '75464', '75788', '75796', '75796', '76508']
focalisation	['67068']
(retournement	['67068']
filtre	['67068', '67385', '74744']
inverse	['67068', '71357']
contrôle	['67068', '67390', '67557', '67800', '67802', '67802', '67939', '67945', '68390', '68390', '68390', '68390', '68885', '68885', '68885', '68885', '69180', '69183', '70162', '71837', '71840', '71841', '72392', '72938', '73687', '73879', '74167', '74167', '74171', '75067', '76207']
front	['67068']
ondes)	['67068']
entreprises	['67068', '67383', '67553', '67553', '67553', '67795', '67795', '67795', '67938', '67945', '68277', '68393', '68643', '70161', '70166', '70166', '70166', '70168', '70422', '70422', '70753', '70753', '71357', '71614', '71619', '71619', '71845', '72117', '72395', '72395', '72396', '72400', '72630', '73185', '73438', '73685', '73687', '73689', '73884', '74172', '74175', '74176', '74176', '74450', '74455', '74746', '74748', '74752', '75066', '75067', '75068', '75069', '75466', '75792', '76208', '76208', '76212', '76513']
